player_a,player_b,common_teammate_count
8448208,8471303,12
8448208,8471306,8
8448208,8471311,17
8448208,8471362,6
8448208,8471390,15
8448208,8471392,9
8448208,8471436,14
8448208,8471469,6
8448208,8471476,5
8448208,8471498,9
8448208,8471504,5
8448208,8471657,11
8448208,8471664,15
8448208,8471669,13
8448208,8471675,13
8448208,8471677,16
8448208,8471678,16
8448208,8471679,5
8448208,8471681,14
8448208,8471682,10
8448208,8471685,7
8448208,8471686,15
8448208,8471691,6
8448208,8471699,14
8448208,8471702,11
8448208,8471707,31
8448208,8471724,13
8448208,8471729,27
8448208,8471734,9
8448208,8471742,6
8448208,8471750,7
8448208,8471761,7
8448208,8471766,8
8448208,8471769,8
8448208,8471817,11
8448208,8471873,18
8448208,8471887,15
8448208,8473422,8
8448208,8473432,11
8448208,8473446,8
8448208,8473449,15
8448208,8473453,16
8448208,8473461,13
8448208,8473465,22
8448208,8473482,14
8448208,8473485,28
8448208,8473507,14
8448208,8473533,8
8448208,8473537,6
8448208,8473541,13
8448208,8473544,22
8448208,8473546,9
8448208,8473548,11
8448208,8473563,5
8448208,8473573,5
8448208,8473574,13
8448208,8473575,6
8448208,8473584,11
8448208,8473604,5
8448208,8473618,5
8448208,8473673,30
8448208,8473914,5
8448208,8473933,12
8448208,8474009,8
8448208,8474013,6
8448208,8474027,7
8448208,8474031,5
8448208,8474034,9
8448208,8474038,11
8448208,8474040,19
8448208,8474056,9
8448208,8474062,7
8448208,8474068,7
8448208,8474090,11
8448208,8474091,10
8448208,8474102,11
8448208,8474134,9
8448208,8474141,7
8448208,8474145,5
8448208,8474149,22
8448208,8474157,9
8448208,8474162,6
8448208,8474166,8
8448208,8474176,7
8448208,8474189,8
8448208,8474207,14
8448208,8474291,6
8448208,8474520,8
8448208,8474550,21
8448208,8474567,7
8448208,8474568,17
8448208,8474574,7
8448208,8474579,13
8448208,8474584,12
8448208,8474586,5
8448208,8474589,6
8448208,8474590,6
8448208,8474593,30
8448208,8474596,9
8448208,8474600,8
8448208,8474602,12
8448208,8474613,6
8448208,8474618,6
8448208,8474627,5
8448208,8474642,15
8448208,8474651,6
8448208,8474668,8
8448208,8474679,7
8448208,8474683,13
8448208,8474716,7
8448208,8474884,17
8448208,8474889,5
8448208,8475149,12
8448208,8475151,13
8448208,8475158,11
8448208,8475163,25
8448208,8475164,7
8448208,8475168,11
8448208,8475169,7
8448208,8475171,8
8448208,8475172,6
8448208,8475176,5
8448208,8475177,5
8448208,8475178,7
8448208,8475184,7
8448208,8475186,13
8448208,8475188,6
8448208,8475193,15
8448208,8475197,13
8448208,8475200,6
8448208,8475208,13
8448208,8475209,6
8448208,8475218,10
8448208,8475220,5
8448208,8475222,10
8448208,8475225,9
8448208,8475233,5
8448208,8475235,8
8448208,8475246,13
8448208,8475279,9
8448208,8475287,15
8448208,8475311,5
8448208,8475343,7
8448208,8475462,12
8448208,8475625,8
8448208,8475660,15
8448208,8475690,14
8448208,8475692,7
8448208,8475714,13
8448208,8475722,6
8448208,8475726,12
8448208,8475727,6
8448208,8475745,8
8448208,8475747,8
8448208,8475752,11
8448208,8475758,5
8448208,8475762,10
8448208,8475764,5
8448208,8475765,6
8448208,8475766,5
8448208,8475772,13
8448208,8475791,6
8448208,8475792,9
8448208,8475793,6
8448208,8475798,5
8448208,8475799,7
8448208,8475807,7
8448208,8475848,5
8448208,8475852,6
8448208,8475883,6
8448208,8476356,9
8448208,8476393,9
8448208,8476399,7
8448208,8476422,5
8448208,8476439,9
8448208,8476440,6
8448208,8476441,5
8448208,8476919,5
8448208,8476979,7
8448208,8477220,6
8448208,8477384,6
8448208,8477407,5
8448208,8477496,8
8458951,8462038,11
8458951,8462042,5
8458951,8464975,18
8458951,8464989,12
8458951,8465009,9
8458951,8465058,11
8458951,8465951,5
8458951,8465978,7
8458951,8466138,8
8458951,8466139,6
8458951,8466141,9
8458951,8466142,12
8458951,8466148,7
8458951,8466158,6
8458951,8466160,19
8458951,8466285,9
8458951,8466333,9
8458951,8466378,10
8458951,8467329,8
8458951,8467330,24
8458951,8467338,5
8458951,8467371,13
8458951,8467389,12
8458951,8467400,10
8458951,8467407,27
8458951,8467545,30
8458951,8468001,7
8458951,8468011,7
8458951,8468064,5
8458951,8468085,9
8458951,8468208,5
8458951,8468309,13
8458951,8468483,17
8458951,8468486,6
8458951,8468493,9
8458951,8468498,6
8458951,8468504,8
8458951,8468505,21
8458951,8468513,8
8458951,8468518,7
8458951,8468535,14
8458951,8468542,5
8458951,8468575,7
8458951,8468611,8
8458951,8468635,42
8458951,8468674,9
8458951,8468685,6
8458951,8469454,8
8458951,8469459,10
8458951,8469465,19
8458951,8469485,17
8458951,8469492,7
8458951,8469500,14
8458951,8469506,6
8458951,8469544,20
8458951,8469547,6
8458951,8469555,7
8458951,8469598,8
8458951,8469608,11
8458951,8469638,6
8458951,8469665,25
8458951,8469760,9
8458951,8469770,5
8458951,8470039,25
8458951,8470041,6
8458951,8470047,13
8458951,8470105,7
8458951,8470120,19
8458951,8470159,10
8458951,8470162,5
8458951,8470169,6
8458951,8470180,16
8458951,8470187,7
8458951,8470201,13
8458951,8470281,12
8458951,8470324,22
8458951,8470358,12
8458951,8470543,8
8458951,8470594,9
8458951,8470595,9
8458951,8470598,18
8458951,8470600,8
8458951,8470601,8
8458951,8470602,14
8458951,8470604,9
8458951,8470607,9
8458951,8470610,6
8458951,8470612,8
8458951,8470613,9
8458951,8470616,8
8458951,8470619,14
8458951,8470621,16
8458951,8470626,14
8458951,8470638,5
8458951,8470640,6
8458951,8470642,18
8458951,8470645,9
8458951,8470654,6
8458951,8470667,20
8458951,8470740,5
8458951,8470755,10
8458951,8470775,31
8458951,8470794,7
8458951,8470803,6
8458951,8470852,7
8458951,8470877,5
8458951,8470886,9
8458951,8470966,7
8458951,8471214,6
8458951,8471215,13
8458951,8471217,7
8458951,8471218,7
8458951,8471226,5
8458951,8471227,8
8458951,8471228,23
8458951,8471231,8
8458951,8471232,13
8458951,8471233,7
8458951,8471239,7
8458951,8471242,5
8458951,8471254,5
8458951,8471260,12
8458951,8471262,8
8458951,8471269,11
8458951,8471273,5
8458951,8471276,5
8458951,8471284,10
8458951,8471306,6
8458951,8471311,5
8458951,8471339,9
8458951,8471390,5
8458951,8471392,8
8458951,8471426,6
8458951,8471436,6
8458951,8471469,7
8458951,8471476,5
8458951,8471504,21
8458951,8471657,7
8458951,8471669,8
8458951,8471675,12
8458951,8471676,24
8458951,8471677,8
8458951,8471678,16
8458951,8471686,7
8458951,8471691,15
8458951,8471698,6
8458951,8471699,16
8458951,8471702,8
8458951,8471707,9
8458951,8471717,5
8458951,8471724,12
8458951,8471729,18
8458951,8471735,6
8458951,8471766,7
8458951,8471768,17
8458951,8471769,7
8458951,8471794,6
8458951,8471817,7
8458951,8471873,13
8458951,8471887,9
8458951,8471956,5
8458951,8471958,9
8458951,8472382,7
8458951,8473419,5
8458951,8473446,8
8458951,8473449,6
8458951,8473465,6
8458951,8473485,6
8458951,8473503,5
8458951,8473533,5
8458951,8473537,8
8458951,8473541,6
8458951,8473544,17
8458951,8473548,6
8458951,8473563,5
8458951,8473573,9
8458951,8473604,7
8458951,8473618,7
8458951,8473673,19
8458951,8473933,9
8458951,8473962,5
8458951,8473986,6
8458951,8473991,8
8458951,8474009,8
8458951,8474013,6
8458951,8474027,6
8458951,8474031,8
8458951,8474034,6
8458951,8474038,17
8458951,8474040,5
8458951,8474062,6
8458951,8474100,7
8458951,8474102,8
8458951,8474134,7
8458951,8474141,7
8458951,8474149,8
8458951,8474151,8
8458951,8474176,11
8458951,8474207,5
8458951,8474218,12
8458951,8474291,6
8458951,8474520,6
8458951,8474550,14
8458951,8474564,7
8458951,8474567,7
8458951,8474568,6
8458951,8474569,5
8458951,8474571,8
8458951,8474574,6
8458951,8474579,6
8458951,8474584,5
8458951,8474589,8
8458951,8474613,6
8458951,8474618,6
8458951,8474628,6
8458951,8474641,6
8458951,8474651,6
8458951,8474673,6
8458951,8474685,5
8458951,8475168,6
8458951,8475171,5
8458951,8475191,9
8458951,8475193,5
8458951,8475209,7
8458951,8475222,5
8458951,8475235,5
8458951,8475752,5
8458951,8476381,6
8458951,8476479,5
8460542,8462042,6
8460542,8464989,9
8460542,8465009,7
8460542,8465166,5
8460542,8466138,5
8460542,8466139,5
8460542,8466140,7
8460542,8466142,5
8460542,8466158,9
8460542,8466251,5
8460542,8466285,6
8460542,8467096,6
8460542,8467371,5
8460542,8467396,6
8460542,8467400,8
8460542,8467452,6
8460542,8468064,6
8460542,8468498,5
8460542,8468513,5
8460542,8468535,5
8460542,8468542,5
8460542,8468611,5
8460542,8468639,7
8460542,8468674,7
